login|file|reviews
ymatsuda|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamLeftJoinTest.java|1
ijuma|core/src/main/scala/kafka/security/auth/SimpleAclAuthorizer.scala|3
ijuma|core/src/main/scala/kafka/common/ZkNodeChangeNotificationListener.scala|1
junrao|core/src/main/scala/kafka/common/ZkNodeChangeNotificationListener.scala|1
ijuma|core/src/main/scala/kafka/tools/ProducerPerformance.scala|1
ijuma|core/src/main/scala/kafka/tools/MirrorMaker.scala|3
ijuma|clients/src/main/java/org/apache/kafka/clients/producer/ProducerConfig.java|4
ijuma|core/src/main/scala/kafka/tools/EndToEndLatency.scala|1
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStoreTest.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/OffsetBackingStore.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/standalone/StandaloneConfig.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaStatusBackingStore.java|2
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/storage/FileOffsetBackingStoreTest.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStore.java|2
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSourceTaskTest.java|5
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaConfigStorageTest.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedConfig.java|1
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerTest.java|5
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/StatusBackingStore.java|3
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/FileOffsetBackingStore.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/cli/ConnectDistributed.java|3
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java|7
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/MemoryStatusBackingStore.java|2
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/distributed/DistributedHerderTest.java|4
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskThreadedTest.java|4
ewencp|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskTest.java|6
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Worker.java|7
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/MemoryOffsetBackingStore.java|1
ewencp|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaConfigStorage.java|3
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStoreTest.java|3
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/OffsetBackingStore.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/standalone/StandaloneConfig.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaStatusBackingStore.java|1
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/storage/FileOffsetBackingStoreTest.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStore.java|1
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSourceTaskTest.java|4
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaConfigStorageTest.java|3
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedConfig.java|1
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerTest.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/StatusBackingStore.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/FileOffsetBackingStore.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/cli/ConnectDistributed.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/MemoryStatusBackingStore.java|1
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/distributed/DistributedHerderTest.java|1
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskThreadedTest.java|3
hachikuji|connect/runtime/src/test/java/org/apache/kafka/connect/runtime/WorkerSinkTaskTest.java|4
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Worker.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/MemoryOffsetBackingStore.java|1
hachikuji|connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaConfigStorage.java|1
ewencp|core/src/main/scala/kafka/admin/ZkSecurityMigrator.scala|1
ewencp|core/src/test/scala/unit/kafka/security/auth/ZkAuthorizationTest.scala|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/SlidingWindowSupplier.java|1
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamImplTest.java|3
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamLeftJoinTest.java|2
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamJoinWindow.java|1
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamWindowedTest.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamImpl.java|7
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoinTest.java|2
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/KStream.java|5
guozhangwang|streams/src/test/java/org/apache/kafka/test/UnlimitedWindowDef.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/WindowSupplier.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoin.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamWindowedImpl.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/Window.java|1
guozhangwang|streams/src/main/java/org/apache/kafka/streams/kstream/JoinWindowSpec.java|1
guozhangwang|streams/src/test/java/org/apache/kafka/streams/kstream/internals/KStreamJoinTest.java|1
fpj|core/src/test/scala/unit/kafka/utils/TestUtils.scala|2
fpj|core/src/test/scala/unit/kafka/utils/JaasTestUtils.scala|1
guozhangwang|build.gradle|3
guozhangwang|README.md|1
ewencp|build.gradle|6
ewencp|README.md|2
ijuma|log4j-appender/src/main/java/org/apache/kafka/log4jappender/KafkaLog4jAppender.java|1
ewencp|core/src/main/scala/kafka/admin/TopicCommand.scala|1
ewencp|core/src/test/scala/unit/kafka/admin/TopicCommandTest.scala|1
ewencp|tests/kafkatest/tests/log4j_appender_test.py|1
ewencp|tools/src/main/java/org/apache/kafka/tools/VerifiableLog4jAppender.java|1
